scenario,graph_mode,mae,rmse,best_val_loss,elapsed_min,epochs,window,n_features,n_nodes,n_edges,scenario_short,scenario_label
S10_transport_all_summarymask,climatological,3.2662084102630615,5.028535477862717,0.00018902766947407102,37.79115146795909,100,12,18,40,396,S10,"S10
(All+SumM)"
S10_transport_all_summarymask,soft_dynamic,2.980022668838501,4.135878350584669,0.00014398574578165628,48.90376637379328,100,12,18,40,706,S10,"S10
(All+SumM)"
S10_transport_all_summarymask,static,2.824767589569092,3.914033017837443,0.000136074743686761,44.703922832012175,100,12,18,40,706,S10,"S10
(All+SumM)"
S1_transport_pm10,climatological,3.3830065727233887,5.214217541989911,0.00021227181533440884,34.933591369787855,100,12,5,40,396,S1,"S1
(Base)"
S1_transport_pm10,soft_dynamic,2.8877503871917725,4.172094446475595,0.00016817456750242517,45.69254107475281,100,12,5,40,706,S1,"S1
(Base)"
S1_transport_pm10,static,2.812321186065674,3.9532113650089022,0.00014961128397052837,46.042836197217305,100,12,5,40,706,S1,"S1
(Base)"
S2_transport_pm10_pm10mask,climatological,3.1909921169281006,4.842967111630631,0.00021196993953327724,33.07113340298335,100,12,5,40,396,S2,"S2
(+PM10 Mask)"
S2_transport_pm10_pm10mask,soft_dynamic,2.745473861694336,3.9451519924033422,0.00016018014058889009,45.07863089243571,100,12,5,40,706,S2,"S2
(+PM10 Mask)"
S2_transport_pm10_pm10mask,static,2.805608034133911,4.05375740099998,0.00015039220907479026,42.67729723056157,100,12,5,40,706,S2,"S2
(+PM10 Mask)"
S3_transport_pm10_pollutants,climatological,3.202549934387207,4.978763494834837,0.0002075985564662788,32.93455981810887,100,12,9,40,396,S3,"S3
(+Pollutants)"
S3_transport_pm10_pollutants,soft_dynamic,2.8699588775634766,4.107008335919648,0.00016340594946848076,45.80566951036453,100,12,9,40,706,S3,"S3
(+Pollutants)"
