experiment,x_mode,attn_mode,lur_mode,r_dim,lam,direct_mae,direct_rmse,direct_r2,cross_mae,cross_rmse,cross_r2,stgnn_mae,best_val
xnone_attnfull_lurlinear_r8_lam0.3,none,full,linear,8,0.3,2.6104531288146973,3.7145018577575684,0.880980834364891,3.3545596599578857,4.683900356292725,0.8107521235942841,2.6143953800201416,49.79656234634257
xno_building_attnfull_lurlinear_r8_lam0.3,no_building,full,linear,8,0.3,2.644563674926758,3.7275524139404297,0.8801430240273476,3.329983949661255,4.666435241699219,0.8121607899665833,2.6143953800201416,49.372232441590214
xsatellite_attnfull_lurlinear_r8_lam0.5,satellite,full,linear,8,0.5,2.6455349922180176,3.7251405715942383,0.8802980855107307,3.30804705619812,4.651407718658447,0.8133686482906342,2.6143953800201416,48.342566806579306
xall_attnfull_lurlinear_r16_lam0.3,all,full,linear,16,0.3,2.650895833969116,3.7242937088012695,0.8803525045514107,3.257092237472534,4.59166955947876,0.8181317150592804,2.6143953800201416,49.09084519270424
xno_building_attnfull_lurlinear_r8_lam0.5,no_building,full,linear,8,0.5,2.6559972763061523,3.741931915283203,0.8792165219783783,3.4491512775421143,4.749297618865967,0.8054305911064148,2.6143953800201416,47.79199981243811
xall_attnfull_lurlinear_r8_lam0.3,all,full,linear,8,0.3,2.6575002670288086,3.7368459701538086,0.8795446380972862,3.3042402267456055,4.645909786224365,0.8138096034526825,2.6143953800201416,49.393689373943296
xall_attnspatial_only_lurlinear_r8_lam0.3,all,spatial_only,linear,8,0.3,2.658118963241577,3.7392945289611816,0.879386730492115,3.565476655960083,4.899442195892334,0.7929338961839676,2.6143953800201416,51.897407344568556
xnone_attnfull_lurlinear_r8_lam0.5,none,full,linear,8,0.5,2.6725013256073,3.736166000366211,0.8795884624123573,3.514070510864258,4.79680061340332,0.8015189319849014,2.6143953800201416,48.03226943328002
xsatellite_attnfull_lurlinear_r8_lam0.3,satellite,full,linear,8,0.3,2.68437123298645,3.742262125015259,0.8791951984167099,3.3216614723205566,4.639825820922852,0.8142969012260437,2.6143953800201416,51.73144434991284
xall_attnspatial_only_lurlinear_r8_lam0.5,all,spatial_only,linear,8,0.5,2.7013349533081055,3.745908260345459,0.8789596855640411,3.4568350315093994,4.777270317077637,0.8031318783760071,2.6143953800201416,47.7630049268776
xall_attnfull_lurlinear_r16_lam0.5,all,full,linear,16,0.5,2.7034831047058105,3.755661964416504,0.8783285319805145,3.27009916305542,4.625705242156982,0.8154255002737045,2.6143953800201416,47.27180476946251
xall_attnfull_lurlinear_r32_lam0.5,all,full,linear,32,0.5,2.717017889022827,3.7728703022003174,0.8772109895944595,3.346503734588623,4.679793834686279,0.8110837936401367,2.6143953800201416,47.36292965167036
xall_attnfull_lurlinear_r32_lam0.3,all,full,linear,32,0.3,2.720491409301758,3.7745115756988525,0.877104140818119,3.3436124324798584,4.672488689422607,0.8116731494665146,2.6143953800201416,50.16175881947312
xall_attnfull_lurlinear_r8_lam0.5,all,full,linear,8,0.5,2.7229042053222656,3.791903257369995,0.8759690001606941,3.428424596786499,4.768222332000732,0.8038768917322159,2.6143953800201416,47.73976248892668
xall_attnfull_lurlinear_r8_lam0.7,all,full,linear,8,0.7,2.732325553894043,3.7872023582458496,0.8762763366103172,3.416114568710327,4.733769416809082,0.8067008256912231,2.6143953800201416,44.8412338996602
xall_attnfull_lurmlp_r8_lam0.5,all,full,mlp,8,0.5,2.7471208572387695,3.7988109588623047,0.8755166828632355,3.3698606491088867,4.703153610229492,0.8091930747032166,2.6143953800201416,48.148462812477185
xall_attnfull_lurlinear_r8_lam0.2,all,full,linear,8,0.2,2.7717251777648926,3.8120641708374023,0.8746465891599655,3.3887417316436768,4.711117267608643,0.8085463792085648,2.6143953800201416,50.71329216199501
xall_attnfull_lurmlp_r8_lam0.3,all,full,mlp,8,0.3,2.8509957790374756,3.900073766708374,0.8687916696071625,3.2831084728240967,4.604832172393799,0.8170875161886215,2.6143953800201416,50.622810087471365
