feature,importance
h_53,0.17245733025677062
h_31,0.10943760037892736
h_50,0.07973886413137406
h_40,0.06518037927293216
h_4,0.053570013181020705
h_44,0.05111591982252249
h_15,0.03495356024300336
h_11,0.03325747845945355
h_57,0.031763172643022475
h_12,0.02447659453960977
h_38,0.01910869495763756
h_17,0.01754119595944448
h_22,0.016647875798084896
h_39,0.015870653130467233
h_13,0.01574406165967828
h_45,0.014947361349638012
h_9,0.014497871244035511
h_8,0.01359318248543679
h_19,0.012745440209703265
h_52,0.010098000849531828
h_54,0.00972170389337123
h_26,0.009476873639644336
h_55,0.009185972285208465
h_24,0.008554909664985016
h_56,0.00847008177996137
h_47,0.00799536137996381
h_59,0.00710894564149871
h_21,0.006845047457110881
h_29,0.006821329961697213
h_37,0.005943145050440407
h_58,0.0052950378386054375
h_18,0.005223973713138827
h_2,0.005169029310670429
h_60,0.00449556180356527
h_63,0.004435960745320263
h_10,0.004286776823694376
h_33,0.003687415071115072
h_3,0.003669254010449319
h_14,0.0034831698374014593
h_36,0.0034503672907715026
h_42,0.003437813327550997
h_1,0.0034168844261993243
h_7,0.0033435528215534655
h_25,0.0033393490008439765
h_30,0.0032475433295599417
h_20,0.0032467245283304214
h_46,0.0032210171567679086
h_27,0.00320317984626982
h_62,0.003115435878405654
h_35,0.003014724825238419
h_5,0.0027721815857658307
h_6,0.002699338519467465
h_0,0.0026019326034404716
h_51,0.0025418116006585656
h_16,0.0024479361770524664
h_61,0.0024455972146221997
h_41,0.0023682657608574634
h_34,0.002310232798863088
h_32,0.002285500672032549
h_28,0.0020109651560292876
h_23,0.0018548485716729619
h_48,0.0013907183359119612
h_43,0.0011953962218708006
NDVI,0.0011457842154862811
h_49,0.0011279022301618935
buildings_%,0.0009650623315188057
sum_height,0.0009540884416058593
elev_mean,0.0009251117507629855
IBI,0.0009234267294344313
sum_area,0.0009033654755654973
road_struc_%,0.0008311047822600861
greenspace_%,0.0005696201564842966
river_zone_%,7.841575684707563e-05
