feature,importance
h_53,0.16239123327726043
h_31,0.11451894526905353
h_50,0.09138870723301748
h_40,0.05886978070610151
h_44,0.05490439732758992
h_4,0.0489192326087676
h_11,0.034500313829663495
h_15,0.030259973798040282
h_57,0.025508212569153817
h_12,0.025270809801629344
h_22,0.023270441229295575
h_38,0.01812210804516233
h_17,0.017148202723355106
h_39,0.01618009449514739
h_9,0.015117326009895985
h_19,0.012307965668477824
h_45,0.012144655047019365
h_13,0.011739167019107578
h_8,0.011421385652803292
h_24,0.010265889690820993
h_26,0.009579945095032313
doy_sin,0.009317441172400803
h_55,0.008962087036552964
h_52,0.008918686011294615
h_47,0.008179624516644064
h_54,0.00799152783477746
h_56,0.00795578044080897
h_29,0.007384665691821574
h_59,0.006902332772694096
h_21,0.006816588223049347
month_sin,0.005848308258608387
h_37,0.005320832012554503
h_2,0.004867164489903076
h_58,0.004620591109954739
h_18,0.0045886674352501634
h_63,0.004346529730975553
h_60,0.0043155883477006525
h_42,0.0036310785304115704
h_14,0.003599759756178462
h_3,0.0034320694860259663
h_30,0.0033931407542843214
h_36,0.003343103257730504
h_7,0.0033051095909338297
h_27,0.003269352892639343
h_46,0.0031417134032672447
h_33,0.0030277110783929998
h_35,0.0030179915380440267
h_20,0.003000540293890173
h_10,0.0029831603690632993
h_1,0.0029414047569609704
h_25,0.0028817792212109078
doy_cos,0.002697894760731588
h_6,0.002618096046312749
h_5,0.0025756262266190206
h_61,0.0024385055894585402
h_62,0.0024357242519888506
h_0,0.0022888751893894548
h_32,0.0022384442464433328
h_34,0.0021915408722541865
hour_sin,0.002190347527081983
h_16,0.0021806725351682784
h_51,0.0021432168613450173
h_41,0.002117380705552783
h_23,0.0018069069237355688
h_28,0.0017203657379006292
h_48,0.0013521125623288397
hour_cos,0.0011879001394818265
h_43,0.0011605725038942155
NDVI,0.00112326245665799
h_49,0.0011192020140667752
sum_height,0.0009248738775031782
IBI,0.0008473182214624767
elev_mean,0.0008429853373293605
buildings_%,0.0007972273987179242
sum_area,0.0007728774752459002
month_cos,0.0007429682003645972
road_struc_%,0.0007079612146514424
greenspace_%,0.0005099924980929206
is_spring,0.0004890039616180092
is_winter,0.0003643527159178119
river_zone_%,0.00014188907793310598
is_weekend,0.00013878576033181063
