feature,importance
h_53,0.17255100441604448
h_31,0.12330074145434067
h_50,0.10103975394412569
h_44,0.05825069734013513
h_40,0.050119035286356875
h_4,0.047042434035446494
h_11,0.02919561823927692
h_57,0.02885771729782097
h_15,0.02799457258939693
h_12,0.023205818984408037
h_22,0.019624927708044415
h_38,0.019317178052774067
h_17,0.014403206336462311
h_8,0.013659773504196632
h_19,0.01237727631508586
h_9,0.011998003034564726
h_45,0.011912731248840196
h_39,0.011804115289445725
h_13,0.011535765427184248
doy_sin,0.009657440465868831
h_55,0.009611410958944726
h_52,0.009365074048160341
h_56,0.009289138385673378
h_26,0.008877780706777501
h_24,0.0084096650635184
h_29,0.0069954306310974525
h_59,0.006677440549531634
month_sin,0.006470933254656499
h_54,0.006112382815671859
h_21,0.006106975650517488
h_47,0.006027008750328011
h_37,0.005988749135059992
h_18,0.00514575810387913
h_60,0.004612204465378359
h_2,0.0044827429337103855
h_63,0.004375711277372479
h_58,0.004290392851797278
h_3,0.0036873091011293767
h_42,0.0035439569756098525
h_10,0.003535606449240325
h_1,0.0034702435787391742
h_46,0.0031229204949896976
h_30,0.0031079569520594858
h_7,0.003096253654773137
h_25,0.0030949405130099817
h_14,0.0030370395738151114
doy_cos,0.0029621670019681907
h_20,0.0028668336773579896
h_62,0.002850255984870602
h_33,0.0027577970047857575
h_35,0.002711596316598217
h_36,0.0026682399504893146
h_27,0.0026197097053858587
h_5,0.00250865079788826
h_6,0.0023804204491804405
h_61,0.0023716683663535716
hour_sin,0.002369675315573583
h_34,0.0023031511521110592
h_41,0.0022681753944254622
h_28,0.002134993061832332
h_51,0.002123269221695123
h_16,0.0020705510164870573
h_32,0.002043434249444005
h_0,0.002009951771767875
h_23,0.0018502861601367346
h_48,0.00122141930805078
h_43,0.0011426820637943542
hour_cos,0.0011310801762841713
NDVI,0.0011016935784493773
h_49,0.0010352460495491155
population,0.0009834412162637212
buildings_%,0.0008749261479394684
sum_area,0.0008723979399142848
IBI,0.0008438640654438801
elev_mean,0.0007964541491449048
sum_height,0.0007566099775380398
road_struc_%,0.0007518701876638559
month_cos,0.0006820866890390107
is_spring,0.000581376692739758
greenspace_%,0.0004618513437255376
is_winter,0.0003121704308396845
is_weekend,0.00012585680133283937
river_zone_%,7.130873867556272e-05
