feature,importance
pca_4,0.23370029356973093
pca_5,0.09778681302397924
pca_9,0.0815920138250353
pca_11,0.05730416006971781
pca_12,0.052392876694836006
pca_10,0.05085874971033383
pca_15,0.047833187593197636
pca_3,0.04506417680168541
pca_2,0.03474708626618621
doy_sin,0.03398381198641336
pca_7,0.03282859126436457
month_sin,0.024567414207110193
pca_8,0.022798074717128265
pca_0,0.022278884079857272
pca_1,0.022241404879960666
pca_13,0.020186827669478675
doy_cos,0.018820856145979274
pca_6,0.016948973098038667
pca_14,0.01332060438436985
hour_sin,0.007018610337799934
NDVI,0.00699641564568724
elev_mean,0.00646593371179345
buildings_%,0.0060282011052542345
is_spring,0.005534628904224667
road_struc_%,0.005485840672146688
sum_height,0.005439868657542436
sum_area,0.005316691492457787
month_cos,0.005301915598959676
IBI,0.0047478220373287855
hour_cos,0.004220173369075135
greenspace_%,0.0037141172138731716
is_winter,0.002424952592486639
is_weekend,0.0011371326158312422
river_zone_%,0.0009128960581357368
