feature,importance
doy_sin,0.272744068280922
doy_cos,0.24884576854044319
hour_sin,0.0803141512216119
NDVI,0.07939851578983867
IBI,0.07362663656789195
month_sin,0.054122459556691704
is_weekend,0.038676365013860535
hour_cos,0.031880821378734575
month_cos,0.026732995817854214
is_spring,0.025643845556110045
elev_mean,0.011195378730737116
sum_area,0.010327636163445302
buildings_%,0.010286573434615542
road_struc_%,0.010063957127815172
sum_height,0.010028000792422958
greenspace_%,0.006960294449889015
is_winter,0.00667307946086343
river_zone_%,0.0024794521162528516
