station,residual_bias
강남구,1.7188439
강남대로,1.3577213
강동구,1.3024383
강변북로,1.3856205
강북구,1.155397
강서구,1.651064
공항대로,1.5145936
관악구,1.801494
광진구,1.4665883
구로구,1.4933027
금천구,1.5660398
노원구,1.5305116
도봉구,1.3352642
도산대로,1.2902017
동대문구,1.697095
동작구,1.5105292
동작대로 중앙차로,1.4901769
마포구,1.4053881
서대문구,1.3142868
서초구,1.4427617
성동구,1.6050584
성북구,1.4385512
송파구,1.9035904
시흥대로,1.6229146
신촌로,1.9215341
양천구,1.3370188
영등포구,1.6973218
영등포로,1.5587556
용산구,1.7573129
은평구,1.233672
정릉로,1.5794039
종로,1.5832728
종로구,1.3488879
중구,0.99040085
중랑구,1.7503173
천호대로,1.6159981
청계천로,1.7323487
한강대로,1.5897961
홍릉로,1.5780851
화랑로,1.5186142
