station,residual_bias
강남구,0.9978223
강남대로,0.6243247
강동구,0.6884359
강변북로,0.5933303
강북구,0.6209841
강서구,0.9303146
공항대로,0.83597
관악구,1.0104212
광진구,0.8498544
구로구,0.69262815
금천구,0.96730053
노원구,0.80641985
도봉구,0.67965555
도산대로,0.6419117
동대문구,0.8375502
동작구,0.6792637
동작대로 중앙차로,0.6946997
마포구,0.5607301
서대문구,0.7138388
서초구,0.80637527
성동구,0.7980679
성북구,0.7252706
송파구,1.0107716
시흥대로,0.76691586
신촌로,1.0827368
양천구,0.62702036
영등포구,0.8720598
영등포로,0.8929781
용산구,0.9752551
은평구,0.60619164
정릉로,0.75372934
종로,0.9579686
종로구,0.6603601
중구,0.2791253
중랑구,0.9155114
천호대로,0.8347473
청계천로,0.9558213
한강대로,0.8181848
홍릉로,0.8031973
화랑로,0.8163382
