station,residual_bias
강남구,1.2175226
강남대로,0.8261175
강동구,0.8461851
강변북로,0.86579937
강북구,0.8190888
강서구,1.1634797
공항대로,1.106625
관악구,1.2214401
광진구,1.0674361
구로구,1.0147974
금천구,1.151361
노원구,1.0605474
도봉구,0.876513
도산대로,0.727509
동대문구,1.1395837
동작구,0.92712325
동작대로 중앙차로,0.8867913
마포구,0.67285866
서대문구,0.9840458
서초구,1.060902
성동구,0.99828196
성북구,1.0029691
송파구,1.3728122
시흥대로,1.0677457
신촌로,1.3587258
양천구,0.86865056
영등포구,1.2258817
영등포로,1.1139567
용산구,1.2099746
은평구,0.7217092
정릉로,1.0480924
종로,1.2164593
종로구,0.80871665
중구,0.46355572
중랑구,1.1871724
천호대로,1.0700074
청계천로,1.2434183
한강대로,0.93972147
홍릉로,1.0122764
화랑로,0.84120154
