CELL_ID,highway_rank,max_lanes,mean_gvi,total_road_length_m,n_road_segments
다사54504050,0,0.0,0.0,0.0,0
다사54255675,0,0.0,0.0,0.0,0
다사54255700,0,0.0,0.0,0.0,0
다사54255725,0,0.0,0.0,0.0,0
다사54255750,0,0.0,0.0,0.0,0
다사54255575,0,0.0,0.0,0.0,0
다사54255600,0,0.0,0.0,0.0,0
다사54255625,0,0.0,0.0,0.0,0
다사54255650,0,0.0,0.0,0.0,0
다사54255875,0,0.0,0.0,0.0,0
다사54255900,0,0.0,0.0,0.0,0
다사54255925,0,0.0,0.0,0.0,0
다사54255950,0,0.0,0.0,0.0,0
다사54255775,0,0.0,0.0,0.0,0
다사54255800,0,0.0,0.0,0.0,0
다사54255825,0,0.0,0.0,0.0,0
다사54255850,0,0.0,0.0,0.0,0
다사54005750,0,0.0,0.0,0.0,0
다사54005775,0,0.0,0.0,0.0,0
다사54005800,0,0.0,0.0,0.0,0
다사54005825,0,0.0,0.0,0.0,0
다사54005650,0,0.0,0.0,0.0,0
다사54005675,0,0.0,0.0,0.0,0
다사54005700,0,0.0,0.0,0.0,0
다사54005725,0,0.0,0.0,0.0,0
다사54005950,0,0.0,0.0,0.0,0
다사54006150,0,0.0,0.0,0.0,0
다사54006175,0,0.0,0.0,0.0,0
다사54006200,0,0.0,0.0,0.0,0
다사54005850,0,0.0,0.0,0.0,0
다사54005875,0,0.0,0.0,0.0,0
다사54005900,0,0.0,0.0,0.0,0
다사54005925,0,0.0,0.0,0.0,0
다사54005350,0,0.0,0.0,0.0,0
다사54005375,0,0.0,0.0,0.0,0
다사54005400,0,0.0,0.0,0.0,0
다사54005425,0,0.0,0.0,0.0,0
다사54005250,0,0.0,0.0,0.0,0
다사54005275,3,3.0,-0.19305881990469645,995.6034690559236,2
다사54005300,0,0.0,0.0,0.0,0
다사54005325,0,0.0,0.0,0.0,0
다사54005550,0,0.0,0.0,0.0,0
다사54005575,0,0.0,0.0,0.0,0
다사54005600,0,0.0,0.0,0.0,0
다사54005625,0,0.0,0.0,0.0,0
다사54005450,0,0.0,0.0,0.0,0
다사54005475,0,0.0,0.0,0.0,0
다사54005500,0,0.0,0.0,0.0,0
다사54005525,0,0.0,0.0,0.0,0
다사54254475,3,3.0,0.07454380731393262,546.2292600767605,1
다사54254500,4,4.0,0.360341701959631,5104.621952309182,5
다사54254525,0,0.0,0.0,0.0,0
다사54254550,0,0.0,0.0,0.0,0
다사54254375,0,0.0,0.0,0.0,0
다사54254400,0,2.0,-0.3651593003798812,23.39914049758655,1
다사54254425,3,2.0,-0.2322090165618525,443.7364757959369,2
다사54254450,3,3.0,-0.1023529754038452,1029.7542143731887,7
다사54254675,0,0.0,0.0,0.0,0
다사54254700,0,0.0,0.0,0.0,0
다사54254725,0,0.0,0.0,0.0,0
다사54254750,0,0.0,0.0,0.0,0
다사54254575,3,4.0,-0.5067914211392032,2019.3303539400345,2
다사54254600,0,0.0,0.0,0.0,0
다사54254625,4,4.0,0.01792205903746015,2055.992160049311,9
다사54254650,3,2.0,0.023688904319352905,1542.7343609063478,3
다사54254075,0,0.0,0.0,0.0,0
다사54254100,0,0.0,0.0,0.0,0
다사54254125,3,4.0,-0.33245935462873183,870.1268916479061,5
다사54254150,3,4.0,-0.20880758262692678,883.9657215283851,2
다사54253975,0,0.0,0.0,0.0,0
다사54254000,0,0.0,0.0,0.0,0
다사54254025,0,0.0,0.0,0.0,0
다사54254050,0,0.0,0.0,0.0,0
다사54254275,3,2.0,-0.3224637414661138,887.5938355694369,16
다사54254300,3,2.0,-0.23009335670245062,172.3346120279496,2
다사54254325,0,0.0,0.0,0.0,0
다사54254350,3,4.0,-0.2379128411253507,2329.6109983604,2
다사54254175,3,6.0,-0.31793434356192857,2735.793375894653,24
다사54254200,3,2.0,-0.382606741711633,642.590776683472,2
다사54254225,1,2.0,-0.2736694798393778,15.267274406810806,1
다사54254250,3,2.0,-0.12154700317921455,1050.8662524511974,2
다사54004150,0,0.0,0.0,0.0,0
다사54004175,3,2.0,-0.29978621819757295,601.462997009687,3
다사54004200,0,0.0,0.0,0.0,0
다사54004225,0,0.0,0.0,0.0,0
다사54004050,0,0.0,0.0,0.0,0
다사54004075,0,0.0,0.0,0.0,0
다사54004100,0,0.0,0.0,0.0,0
다사54004125,0,0.0,0.0,0.0,0
다사54004350,0,0.0,0.0,0.0,0
다사54004375,0,0.0,0.0,0.0,0
다사54004400,0,0.0,0.0,0.0,0
다사54004425,0,0.0,0.0,0.0,0
다사54004250,0,0.0,0.0,0.0,0
다사54004275,0,0.0,0.0,0.0,0
다사54004300,0,0.0,0.0,0.0,0
다사54004325,0,0.0,0.0,0.0,0
다사53755775,0,0.0,0.0,0.0,0
다사53755800,0,0.0,0.0,0.0,0
다사53755825,0,0.0,0.0,0.0,0
다사53755850,0,0.0,0.0,0.0,0
다사53755675,0,0.0,0.0,0.0,0
다사53755700,0,0.0,0.0,0.0,0
다사53755725,0,0.0,0.0,0.0,0
다사53755750,0,0.0,0.0,0.0,0
다사54003950,0,0.0,0.0,0.0,0
다사54003975,0,0.0,0.0,0.0,0
다사54004000,0,0.0,0.0,0.0,0
다사54004025,0,0.0,0.0,0.0,0
다사53755875,0,0.0,0.0,0.0,0
다사53755900,0,0.0,0.0,0.0,0
다사53755925,0,0.0,0.0,0.0,0
다사53755950,0,0.0,0.0,0.0,0
다사54004950,2,2.0,0.1542062403870653,490.45564891171244,2
다사54004975,0,0.0,0.0,0.0,0
다사54005000,0,0.0,0.0,0.0,0
다사54005025,2,4.0,1.4338104097736324,470.4845066321085,4
다사54004850,0,0.0,0.0,0.0,0
다사54004875,0,0.0,0.0,0.0,0
다사54004900,0,0.0,0.0,0.0,0
다사54004925,0,0.0,0.0,0.0,0
다사54005150,3,3.0,-0.3880499035706964,890.0276730721354,5
다사54005175,3,3.0,-0.06757158201871875,773.9376691024398,7
다사54005200,3,2.0,0.15241827561590643,578.4057483989957,4
다사54005225,3,4.0,0.36229131466571224,673.1899382169149,5
다사54005050,2,3.0,1.026721757163555,902.7260784324183,6
다사54005075,0,0.0,0.0,0.0,0
다사54005100,3,2.0,-0.4081219609699302,1480.0244125092186,2
다사54005125,2,4.0,-0.303325497505924,912.9390942568268,2
다사54004550,0,0.0,0.0,0.0,0
다사54004575,0,0.0,0.0,0.0,0
다사54004600,0,0.0,0.0,0.0,0
다사54004625,4,4.0,0.2550174638137581,386.82766265431655,2
다사54004450,3,8.0,0.30039535066692946,122.91041575561306,1
다사54004475,3,4.0,0.41594879029154636,2298.6162468447214,5
다사54004500,3,4.0,-0.2355387627615944,1336.7864225170467,8
다사54004525,0,0.0,0.0,0.0,0
다사54004750,0,0.0,0.0,0.0,0
다사54004775,0,0.0,0.0,0.0,0
다사54004800,0,0.0,0.0,0.0,0
다사54004825,0,0.0,0.0,0.0,0
다사54004650,0,0.0,0.0,0.0,0
다사54004675,0,0.0,0.0,0.0,0
다사54004700,0,0.0,0.0,0.0,0
다사54004725,0,0.0,0.0,0.0,0
다사53754575,0,0.0,0.0,0.0,0
다사53754600,0,0.0,0.0,0.0,0
다사53754625,4,4.0,1.662473951722209,961.8394101928128,7
다사53754650,0,0.0,0.0,0.0,0
다사53754475,3,8.0,0.13763779177896254,966.750129767805,10
다사53754500,4,4.0,0.9237228424950228,389.04929269543425,5
다사53754525,0,0.0,0.0,0.0,0
다사53754550,0,0.0,0.0,0.0,0
다사53754775,0,0.0,0.0,0.0,0
다사53754800,0,0.0,0.0,0.0,0
다사53754825,2,2.0,0.5717525124818851,1932.072583693246,2
다사53754850,0,0.0,0.0,0.0,0
다사53754675,0,0.0,0.0,0.0,0
다사53754700,0,0.0,0.0,0.0,0
다사53754725,0,0.0,0.0,0.0,0
다사53754750,0,0.0,0.0,0.0,0
다사53754175,3,2.0,-0.21530400415033096,765.4657845337227,2
다사53754200,0,0.0,0.0,0.0,0
다사53754225,0,0.0,0.0,0.0,0
다사53754250,0,0.0,0.0,0.0,0
다사53754075,0,0.0,0.0,0.0,0
다사53754100,0,0.0,0.0,0.0,0
다사53754125,0,0.0,0.0,0.0,0
다사53754150,0,0.0,0.0,0.0,0
다사53754375,0,0.0,0.0,0.0,0
다사53754400,0,0.0,0.0,0.0,0
다사53754425,0,0.0,0.0,0.0,0
다사53754450,0,0.0,0.0,0.0,0
다사53754275,0,0.0,0.0,0.0,0
다사53754300,0,0.0,0.0,0.0,0
다사53754325,0,0.0,0.0,0.0,0
다사53754350,0,0.0,0.0,0.0,0
다사53755375,0,0.0,0.0,0.0,0
다사53755400,0,0.0,0.0,0.0,0
다사53755425,0,0.0,0.0,0.0,0
다사53755450,0,0.0,0.0,0.0,0
다사53755275,3,4.0,-0.5877612554012687,1125.8597352880556,11
다사53755300,0,0.0,0.0,0.0,0
다사53755325,0,0.0,0.0,0.0,0
다사53755350,0,0.0,0.0,0.0,0
다사53755575,4,3.0,-0.4163160575553967,4657.676837329119,1
다사53755600,0,0.0,0.0,0.0,0
다사53755625,0,0.0,0.0,0.0,0
다사53755650,0,0.0,0.0,0.0,0
다사53755475,0,0.0,0.0,0.0,0
다사53755500,0,0.0,0.0,0.0,0
다사53755525,0,0.0,0.0,0.0,0
다사53755550,0,0.0,0.0,0.0,0
다사53754975,0,0.0,0.0,0.0,0
다사53755000,2,5.0,0.08656012729637623,2042.2673301241366,2
다사53755025,0,0.0,0.0,0.0,0
다사53755050,2,2.0,0.697698088135783,250.69546125486215,5
다사53754875,0,0.0,0.0,0.0,0
다사53754900,0,0.0,0.0,0.0,0
다사53754925,0,0.0,0.0,0.0,0
다사53754950,2,2.0,-0.16838003822525419,1071.2987564977648,2
다사53755175,3,8.0,-0.14895842937246145,754.6206248840999,2
다사53755200,3,8.0,0.2536379470063335,394.0069188328505,5
다사53755225,3,8.0,-0.32600872920686425,689.4947004734673,15
다사53755250,3,4.0,-0.5620736399211743,960.4642258826315,2
다사53755075,0,0.0,0.0,0.0,0
다사53755100,3,2.0,-0.38248522517032413,1281.4927077237282,9
다사53755125,3,8.0,-0.1917102994620289,882.0691018398448,9
다사53755150,3,8.0,-0.08833478837078973,736.1742571041323,13
다사53504975,0,0.0,0.0,0.0,0
다사53505000,0,0.0,0.0,0.0,0
다사53505025,3,4.0,-0.42936327357200743,951.3641264788059,2
다사53505050,3,2.0,-0.4243933347808774,483.4540416415754,5
다사53504875,3,2.0,0.766716158329409,1268.5525054634115,2
다사53504900,2,2.0,-0.5722330088137665,31.724705790492013,2
다사53504925,3,4.0,-0.5761794670187057,694.8917889623724,2
다사53504950,2,2.0,-0.31582879702336764,122.13223138731007,3
다사53505175,0,0.0,0.0,0.0,0
다사53505200,0,0.0,0.0,0.0,0
다사53505225,0,0.0,0.0,0.0,0
다사53505250,0,0.0,0.0,0.0,0
다사53505075,3,5.0,-0.594477818110293,1164.1722021068178,22
다사53505100,3,2.0,-0.042812490568411805,1442.2279289601106,10
