route_order,grid_id,x,y,score,cluster
0,14288,0.63758385,0.25503355,0.99984545,4
1,16509,0.738255,0.060402684,0.9987144,4
2,17274,0.7718121,0.16107383,0.99813133,4
3,16234,0.7248322,0.22818792,0.9989621,4
4,16242,0.7248322,0.2818792,0.999717,4
5,16399,0.73154366,0.32885906,0.99966234,4
6,16407,0.73154366,0.38255033,0.99976784,4
7,21501,0.9597315,0.34228188,0.9976831,4
8,18216,0.8120805,0.44295302,0.9982035,4
9,17332,0.7718121,0.5503355,0.9999793,1
10,18096,0.80536914,0.64429533,0.9998991,1
11,19296,0.8590604,0.64429533,0.9976047,1
12,18259,0.8120805,0.73154366,0.9996767,1
13,20513,0.9127517,0.75838923,0.9979494,1
14,20987,0.9328859,0.9194631,0.99798596,6
15,19029,0.84563756,0.86577183,0.997524,6
16,17827,0.7919463,0.852349,0.9977798,6
17,16635,0.738255,0.90604025,0.9996677,6
18,15439,0.68456376,0.9328859,0.9992629,6
19,14546,0.64429533,0.9798658,0.9988369,6
20,13310,0.59060407,0.738255,0.9999371,6
21,10044,0.44295302,0.96644294,0.99874955,10
22,8694,0.38255033,0.96644294,0.9998792,10
23,9569,0.42281878,0.7986577,0.9978369,10
24,8059,0.3557047,0.73154366,0.9980634,2
25,8057,0.3557047,0.7181208,0.99899733,2
26,6857,0.30201343,0.7181208,0.9977491,2
27,5346,0.23489933,0.64429533,0.9991105,2
28,6379,0.2818792,0.5302013,0.99790835,2
29,6522,0.2885906,0.48322147,0.9980955,2
30,5622,0.24832214,0.48322147,0.9974861,2
31,3583,0.15436241,0.89261746,0.99846905,7
32,1936,0.08053692,0.9127517,0.9995862,7
33,2963,0.12751678,0.75838923,0.998535,7
34,110,0.0,0.738255,0.99980444,7
35,979,0.04026846,0.5302013,0.9975799,9
36,1127,0.046979867,0.5167785,0.998457,9
37,672,0.026845638,0.48322147,0.9979084,9
38,2752,0.12080537,0.3489933,0.998145,5
39,3350,0.147651,0.33557048,0.9978592,5
40,2736,0.12080537,0.24161074,0.998876,5
41,5882,0.26174498,0.2147651,0.99779147,5
42,8562,0.38255033,0.08053692,0.99761295,3
43,9156,0.40939596,0.04026846,0.99962085,3
44,12187,0.54362416,0.24832214,0.99860215,8
45,12054,0.53691274,0.36241612,0.99906206,8
46,12213,0.54362416,0.42281878,0.99874324,8
47,14161,0.6308725,0.40939596,0.99958414,8
48,15063,0.6711409,0.42281878,0.99948645,8
49,14628,0.6510067,0.52348995,0.9997695,8
