route_order,grid_id,x,y,score
0,14628,0.6510067,0.52348995,0.9997695
1,12054,0.53691274,0.36241612,0.99906206
2,8562,0.38255033,0.08053692,0.99761295
3,9156,0.40939596,0.04026846,0.99962085
4,5882,0.26174498,0.2147651,0.99779147
5,2736,0.12080537,0.24161074,0.998876
6,3350,0.147651,0.33557048,0.9978592
7,2752,0.12080537,0.3489933,0.998145
8,672,0.026845638,0.48322147,0.9979084
9,1127,0.046979867,0.5167785,0.998457
10,979,0.04026846,0.5302013,0.9975799
11,110,0.0,0.738255,0.99980444
12,1936,0.08053692,0.9127517,0.9995862
13,3583,0.15436241,0.89261746,0.99846905
14,2963,0.12751678,0.75838923,0.998535
15,5346,0.23489933,0.64429533,0.9991105
16,5622,0.24832214,0.48322147,0.9974861
17,6522,0.2885906,0.48322147,0.9980955
18,6379,0.2818792,0.5302013,0.99790835
19,12213,0.54362416,0.42281878,0.99874324
20,12187,0.54362416,0.24832214,0.99860215
21,14288,0.63758385,0.25503355,0.99984545
22,16509,0.738255,0.060402684,0.9987144
23,17274,0.7718121,0.16107383,0.99813133
24,16234,0.7248322,0.22818792,0.9989621
25,16242,0.7248322,0.2818792,0.999717
26,16399,0.73154366,0.32885906,0.99966234
27,14161,0.6308725,0.40939596,0.99958414
28,15063,0.6711409,0.42281878,0.99948645
29,16407,0.73154366,0.38255033,0.99976784
30,21501,0.9597315,0.34228188,0.9976831
31,18216,0.8120805,0.44295302,0.9982035
32,17332,0.7718121,0.5503355,0.9999793
33,18096,0.80536914,0.64429533,0.9998991
34,19296,0.8590604,0.64429533,0.9976047
35,18259,0.8120805,0.73154366,0.9996767
36,20513,0.9127517,0.75838923,0.9979494
37,20987,0.9328859,0.9194631,0.99798596
38,19029,0.84563756,0.86577183,0.997524
39,17827,0.7919463,0.852349,0.9977798
40,16635,0.738255,0.90604025,0.9996677
41,15439,0.68456376,0.9328859,0.9992629
42,14546,0.64429533,0.9798658,0.9988369
43,10044,0.44295302,0.96644294,0.99874955
44,8694,0.38255033,0.96644294,0.9998792
45,9569,0.42281878,0.7986577,0.9978369
46,8059,0.3557047,0.73154366,0.9980634
47,6857,0.30201343,0.7181208,0.9977491
48,8057,0.3557047,0.7181208,0.99899733
49,13310,0.59060407,0.738255,0.9999371
